String,Ref. Ten. (lbs),Swing Speed,Material,Stiffness (lb/in),Tension Loss (%),Spin Potential
Yonex Tour Super 850 16 (1.30),51,Fast,Nylon,145.7,18.7,4.9
Dunlop Silk 17,51,Fast,Nylon,130.9,30.8,3.5
Yonex Tournament 50 16L,51,Fast,Nylon,167.4,20.7,NA
Prince Synthetic Gut Multifilament 17,40,Fast,Nylon,137.7,24.5,3.1
Gamma Synthetic Gut 17 (1.25),51,Fast,Nylon,160.6,12.3,5.1
Gosen Compositemaster I 16,62,Fast,Nylon,184.6,19.9,4.2
Head Synthetic Gut 16,51,Fast,Nylon,177.2,23.6,3.6
Prince Premier Power 17,40,Fast,Nylon,117.7,26.3,4.3
Gamma Glide Cross String 16,40,Fast,Nylon,110.9,31.6,3.2
Babolat Xcel Power 17,40,Fast,Nylon,129.7,20,3.6
Yonex Rexis 16 (1.30),51,Fast,Nylon,153.2,19.1,4.1
Head Fibergel Power 17,62,Fast,Nylon,180,23.5,3.1
Gosen AK Pro 16,62,Fast,Nylon,204.6,20.9,4.3
Ashaway Liberty 16,51,Fast,Nylon,167.4,24.8,4.6
Tecnifibre NRG2 16,40,Fast,Nylon,136.6,19.7,3.2
Prince Tournament Nylon 15L,62,Fast,Nylon,211.5,17.8,3.1
Wilson NXT OS,40,Fast,Nylon,141.7,20.9,2.5
Volkl Power-Fiber II 16,62,Fast,Nylon,176.6,22.6,3.2
Dunlop Hexy Fiber 16,62,Fast,Nylon,170.3,22.2,3.6
Gamma Prodigy 16,62,Fast,Nylon,188,22,3.5
Dunlop X-Life Synthetic 15L,40,Fast,Nylon,145.2,25.2,3.5
Dunlop M-Fil Tour 16,51,Fast,Nylon,159.4,23.3,4.3
Pacific PMX 17,62,Fast,Nylon,165.7,22.5,NA
Wilson Optimus 16 (1.30),62,Fast,Nylon,153.7,21.5,3.6
Prince Lightning Pro 16 (1.30),51,Fast,Nylon,143.4,15.6,5.5
Head ETS 17,40,Fast,Nylon,139.4,27.2,1.9
Gamma WearGuard Synthetic Gut 16,40,Fast,Nylon,144,27.2,2.8
Prince Premier LT 18,62,Fast,Nylon,168,32.6,3.5
Gosen Tecflex 16 (1.30),51,Fast,Nylon,150.9,19.5,4.6
Gosen AK Pro 17,51,Fast,Nylon,162.3,20.7,4.4
LaserFibre Supernatural Gut Pro Stock 16,62,Fast,Nylon,188.6,23.6,NA
Prince Premier LT 17,40,Fast,Nylon,124,32.3,3.3
Prince Premier Touch 15L,51,Fast,Nylon,152.6,24,4.4
Wilson NXT Tour 16,51,Fast,Nylon,180.6,21.3,3.8
Wilson Synthetic Gut Power 16 (1.30),51,Fast,Nylon,156,15.2,4.9
Wilson K-Gut Pro 16,40,Fast,Nylon,144.6,25.2,1.6
Prince Synthetic Gut 16 Duraflex,62,Fast,Nylon,202.3,18.1,NA
Wilson Red Alert 16,51,Fast,Nylon,190.9,19.8,3
Prince Syn Gut Original 17,40,Fast,Nylon,149.7,22.3,3.8
Gamma Marathon DPC 15 (1.40),51,Fast,Nylon,180,14.8,5.7
Gosen OG Sheep Micro 17,62,Fast,Nylon,183.5,22.1,3.2
Klip Synthetic Gut 16,40,Fast,Nylon,137.2,28.1,4.2
Pacific PMX 16L,51,Fast,Nylon,146.3,26.3,2
Prince Premier Touch 17,40,Fast,Nylon,135.4,39.8,4.2
Tourna Quasi Gut 17,51,Fast,Nylon,129.2,24.7,5.2
Tecnifibre NRG2 17/1.24,62,Fast,Nylon,185.7,13.7,3.5
Dunlop Silk 16 (1.30),51,Fast,Nylon,147.4,25.9,3.4
Dunlop Explosive Synthetic Gut 17,40,Fast,Nylon,145.2,24.2,NA
Wilson Reaction 16,51,Fast,Nylon,146.3,26.4,2.4
Prince Lightning XX 16,40,Fast,Nylon,149.2,23.9,3.4
Double AR 666 (1.30),51,Fast,Nylon,161.7,24.3,5.8
Volkl Synthetic Gut 17,51,Fast,Nylon,158.9,22.2,5.2
Wilson Shock Shield 16,62,Fast,Nylon,180.6,27,2.3
Gamma TNT2 Pro Plus 16,62,Fast,Nylon,182.3,24,3.1
Gamma TNT2 Tour 16 (1.32),51,Fast,Nylon,157.2,19.1,5.2
Gosen Nanosilver 17,40,Fast,Nylon,139.4,24.7,4.5
Pacific Power Line 16L,40,Fast,Nylon,148.6,21.8,3.4
Prince Premier Control 17,62,Fast,Nylon,172,18,4.7
Gamma TNT2 16,62,Fast,Nylon,193.2,19.6,3.2
Prince Synthetic Gut 17 Duraflex,51,Fast,Nylon,188,21,NA
Klip Excellerator 16/1.30,40,Fast,Nylon,137.2,24.2,2.7
Wilson NXT 17,51,Fast,Nylon,156,23,2
Gamma ESP 16,40,Fast,Nylon,135.4,29.6,2.6
Prince Topspin W/ Duraflex 15L,62,Fast,Nylon,210.3,16,3.5
Gamma Live Wire 17 (1.27),51,Fast,Nylon,147.4,18.1,3.9
Gosen Compositemaster II 16,51,Fast,Nylon,150.9,23.5,4.5
Dunlop Explosive Synthetic 16,51,Fast,Nylon,179.5,20.6,3.6
Head Synthetic Gut PPS 16,40,Fast,Nylon,143.4,27.3,3.9
Prince Premier Power 18,51,Fast,Nylon,142.9,20.5,5
Head FXP Power 17,51,Fast,Nylon,163.4,22.2,4.5
Ashaway Synthetic Gut 16,51,Fast,Nylon,166.9,24.3,4.6
Forten Sweet 16,40,Fast,Nylon,155.4,24.5,3.4
Babolat Xcel French Open Black 16,51,Fast,Nylon,144.6,13.3,5.2
Dunlop Hexy Fiber 17,51,Fast,Nylon,144,24.8,3.7
Wilson Stamina 16,62,Fast,Nylon,210.9,18.6,3
Wilson NXT Tour 17,62,Fast,Nylon,198.3,16.8,3.6
Babolat Xcel Premium 17,62,Fast,Nylon,163.4,18.9,0
Gamma Synthetic Gut 16,51,Fast,Nylon,185.7,23.2,3.6
Wilson Synthetic Gut Extreme 17,40,Fast,Nylon,152,21.9,2.8
Gamma FXT 17 (1.24),51,Fast,Nylon,154.3,12,4.8
Gosen Powermaster II 16,62,Fast,Nylon,178.9,20.4,3.7
Babolat Xcel Power 16,51,Fast,Nylon,162.3,18.9,3.8
Pacific Power Twist 16L,51,Fast,Nylon,158.3,22.7,3.2
Prince Premier Power 16,40,Fast,Nylon,120,26.2,4.6
Babolat Addiction 17,40,Fast,Nylon,134.3,24.8,2.6
Solinco Vanquish 17 (1.20),51,Fast,Nylon,145.7,17,5.9
Dunlop Synthetic Gut 16,62,Fast,Nylon,205.7,21.2,3.9
Gosen Multi CX 16 (1.30),51,Fast,Nylon,154.9,17.7,4.6
Prince Syn Gut Original 16,62,Fast,Nylon,214.3,18.7,2.9
Wilson Hollow Core 16,40,Fast,Nylon,120,40.8,3.3
Wilson NXT Power 17 (1.26),51,Fast,Nylon,157.7,14.3,5.5
Head FXP Power 16,40,Fast,Nylon,132,29.1,4.6
Wilson K-Gut 16,62,Fast,Nylon,202.9,17.6,4.4
Gamma TNT2 Touch 16,62,Fast,Nylon,178.3,22.5,3.4
Weiss Cannon Explosiv 1.30,40,Fast,Nylon,120.6,26.4,4
LaserFibre Supernatural Gut Pro Stock 16,51,Fast,Nylon,162.3,27.1,NA
Pacific Premium Power X 16L,62,Fast,Nylon,201.7,18.9,3.3
Babolat SG SpiralTek 16,62,Fast,Nylon,181.7,12.7,4.1
Tourna Irradiated 16,51,Fast,Nylon,162.9,23.6,3
Tecnifibre X-One Biphase 18,40,Fast,Nylon,129.7,17.7,1.6
Wilson Hollow Core Pro 16,40,Fast,Nylon,116,40.8,2.2
Head Fibergel Spin 16,40,Fast,Nylon,142.3,28.1,3.5
Prince Synthetic Gut 18 Duraflex,62,Fast,Nylon,184.6,18.1,3.6
Gosen OG Sheep Micro 18,51,Fast,Nylon,159.4,21.4,3.2
Gamma Asterisk Spin 16,62,Fast,Nylon,175.5,23,3.9
Prince Recoil 16,40,Fast,Nylon,145.2,30.1,3.4
Prince Premier Touch 16,51,Fast,Nylon,149.2,22.9,4.1
Gosen Nanocubic 16,40,Fast,Nylon,152,25.8,4
Boris Becker Pulse 16 (1.32),51,Fast,Nylon,144,17,3.3
Toalson Leoina 77 (1.30),51,Fast,Nylon,157.2,17.7,4.4
Tecnifibre E-Matrix 17,40,Fast,Nylon,124.6,21.8,2.4
Babolat FiberTour 16,40,Fast,Nylon,141.2,26.3,3.1
Wilson Extreme 16 Synthetic Gut,40,Fast,Nylon,151.4,24.6,3.2
Prince Topspin Plus 16,62,Fast,Nylon,186.3,18.1,5.3
Dunlop S-Gut 16 (1.32),51,Fast,Nylon,158.3,15.5,3.7
Babolat Xcel 16,51,Fast,Nylon,150.9,18.9,3
Tourna Quasi-Gut 16,51,Fast,Nylon,154.3,24.3,0
Wilson SGX 16,51,Fast,Nylon,166.3,19.1,3.1
Gamma Solace 16 (1.32),51,Fast,Nylon,146.9,21.7,3.5
Gosen OG Sheep Micro Super 16L,62,Fast,Nylon,183.5,19.7,2.7
Klip Kicker 16,40,Fast,Nylon,133.7,30.9,3.7
Kirschbaum Touch Multifibre 17 (1.25),51,Fast,Nylon,165.7,21.8,3.5
Prince Premier Control 15L,40,Fast,Nylon,126.9,23.9,4.6
Wilson Sensation Supreme 16,51,Fast,Nylon,143.4,27.9,3
Prince Premier W/ Softflex 17,40,Fast,Nylon,122.3,26.8,3.2
Volkl Synthetic Gut 16,51,Fast,Nylon,173.7,20.3,5.1
Wilson Hollow Core Pro 17,40,Fast,Nylon,122.3,41.3,3.9
Gamma TNT2 Rx 16,62,Fast,Nylon,187.5,21.9,4.5
Prince Lightning XX 17,51,Fast,Nylon,177.2,19.3,3.5
Head Reflex MLT 16 (1.30),40,Fast,Nylon,132,28.6,5.1
Gamma TNT2 17 (1.27),51,Fast,Nylon,157.7,13.2,5.3
Gosen A.K. Control 16,40,Fast,Nylon,130.3,27.6,5.4
Gosen OG-Sheep Micro 16,51,Fast,Nylon,183.5,21.3,3.4
Prince Premier Control 16,62,Fast,Nylon,179.5,17.2,5.4
Volkl Power-Fiber II 17,40,Fast,Nylon,138.3,23.5,2.7
Head FXP 17,40,Fast,Nylon,145.2,23.8,4.1
Dunlop DNA 16 (1.30),62,Fast,Nylon,173.2,23.1,3.6
Gamma Professional 17,51,Fast,Nylon,144.6,23.3,2.8
Volkl Gripper 16,62,Fast,Nylon,170.3,21.9,NA
Babolat Synthetic Gut 16 (1.30),51,Fast,Nylon,169.2,17.5,5.8
Head Reflex MLT 17 (1.25),51,Fast,Nylon,141.2,19.4,4.7
Head Fibergel Power 16,40,Fast,Nylon,125.7,36.7,3
Dunlop Comfort Synthetic 17,40,Fast,Nylon,146.9,28.8,NA
Klip Venom 16/1.30,40,Fast,Nylon,138.9,25.8,2.3
Wilson Sensation 17,51,Fast,Nylon,163.4,21.5,3.6
Babolat Addiction 16,51,Fast,Nylon,167.4,20.1,3.1
Yonex Tour Super Pro 850 16 (1.32),51,Fast,Nylon,148.6,16.7,4.3
Dunlop Silk 17,40,Fast,Nylon,106.9,34.1,3.5
Yonex Tournament 50 16L,40,Fast,Nylon,142.3,24.4,NA
Prince Synthetic Gut Multifilament 16,62,Fast,Nylon,188.6,21.3,2.7
Gamma Synthetic Gut 18 (1.18),51,Fast,Nylon,164.6,15.2,5.6
Gosen Compositemaster I 16,51,Fast,Nylon,165.2,21.3,4.2
Head Synthetic Gut 16,40,Fast,Nylon,152.6,25.9,3.6
Prince Premier Power 17,51,Fast,Nylon,145.2,19.7,4.3
Gamma Glide Cross String 16,51,Fast,Nylon,133.2,22.7,3.2
Prince Perfection 16 (1.30),51,Fast,Nylon,162.9,15.6,4.4
Head Fibergel Power 17,51,Fast,Nylon,161.2,24.5,3.1
Gosen AK Pro 16,51,Fast,Nylon,173.7,21.9,4.3
Ashaway Liberty 16,62,Fast,Nylon,179.5,24.1,4.6
Wilson Sensation 16,62,Fast,Nylon,195.5,18.4,3.5
Prince Tournament Nylon 15L,51,Fast,Nylon,186.9,19.7,3.1
Wilson NXT 16,62,Fast,Nylon,196.6,19.6,3.9
Volkl Power-Fiber II 16,51,Fast,Nylon,158.9,21.1,3.2
Dunlop Hexy Fiber 16,51,Fast,Nylon,141.7,25.2,3.6
Gamma Prodigy 16,51,Fast,Nylon,164.6,21.3,3.5
Gosen Powermaster I 16,62,Fast,Nylon,182.9,21.8,3.9
Dunlop Comfort Synthetic 16,62,Fast,Nylon,207.5,18.4,4.1
Dunlop M-Fil Tour 16,40,Fast,Nylon,141.2,24.8,4.3
Pacific PMX 17,51,Fast,Nylon,140,26.6,NA
Babolat Origin 17,40,Fast,Nylon,157.7,25.6,6.4
Wilson NXT Duramax 15 (1.40),40,Fast,Nylon,136,28.8,4.5
Babolat Super Fine Play 16,62,Fast,Nylon,219.5,19.2,3.8
Prince Premier LT 18,51,Fast,Nylon,151.4,27.6,3.5
Alpha Gut 2000 16,40,Fast,Nylon,131.4,22.6,3.1
Gosen AK Control 17 (1.24),51,Fast,Nylon,148.6,17.3,7.6
Gosen AK Pro 17,40,Fast,Nylon,144.6,24.4,4.4
Prince Premier W/Softflex 16,62,Fast,Nylon,165.7,21.5,3.3
Prince Premier Touch 15L,62,Fast,Nylon,154.9,18.3,4.4
Wilson NXT Tour 16,40,Fast,Nylon,150.9,25.4,3.8
Wilson Sensation Control 16 (1.30),51,Fast,Nylon,150.3,13.7,4.8
Wilson NXT Max 16,62,Fast,Nylon,192,18.6,2.5
Prince Synthetic Gut 16 Duraflex,51,Fast,Nylon,177.7,20.4,NA
Pacific Power Line 17,62,Fast,Nylon,203.5,20.1,3.5
Wilson Red Alert 16,40,Fast,Nylon,160.6,24.9,3
Gamma Ocho XP 17 (1.27),51,Fast,Nylon,147.4,20.9,3.6
Gosen OG Sheep Micro 17,51,Fast,Nylon,163.4,23.5,3.2
Kirschbaum Touch Multifibre 16,62,Fast,Nylon,184.6,21.6,4.1
Pacific PMX 16L,40,Fast,Nylon,121.7,30.9,2
Prince Premier Touch 17,51,Fast,Nylon,136.6,24.9,4.2
Tecnifibre NRG2 17/1.24,51,Fast,Nylon,164,15.1,3.5
Dunlop Silk 16 (1.30),40,Fast,Nylon,122.9,30,3.4
Volkl Power-Fiber II 18,62,Fast,Nylon,184.6,18.4,2.9
Wilson Reaction 16,40,Fast,Nylon,121.2,29.1,2.4
Double AR 666 (1.30),62,Fast,Nylon,180,22.9,5.8
Babolat Conquest 16,40,Fast,Nylon,139.4,33.4,4.3
Volkl Synthetic Gut 17,40,Fast,Nylon,137.2,26.6,5.2
Volkl Gripper 17,62,Fast,Nylon,161.2,22.9,4.4
Solinco Vanquish 16,62,Fast,Nylon,184.6,19,3.9
Wilson Shock Shield 16,51,Fast,Nylon,156,32.3,2.3
Gamma TNT2 Pro Plus 16,51,Fast,Nylon,158.3,25.9,3.1
Gamma TNT2 Tour 17 (1.27),51,Fast,Nylon,155.4,19.7,4.5
Gosen Nanoblend 17,62,Fast,Nylon,148.6,26.9,NA
Prince Premier Control 15,40,Fast,Nylon,127.4,24.6,4.6
Gamma TNT2 16,51,Fast,Nylon,170.9,21.6,3.2
Prince Synthetic Gut 17 Duraflex,40,Fast,Nylon,154.9,26.4,NA
Head ETS 16,62,Fast,Nylon,163.4,23.8,1.9
Dunlop Tour Performance 16,51,Fast,Nylon,160,22.3,4.1
Klip Scorcher 16/1.30,62,Fast,Nylon,193.7,21.4,3.2
Wilson NXT 17,40,Fast,Nylon,133.2,27.6,2
Mantis Comfort Synthetic 16,62,Fast,Nylon,172.6,20.5,3.8
Prince Topspin W/ Duraflex 15L,51,Fast,Nylon,182.3,17.4,3.5
Gamma Professional 18 (1.22),51,Fast,Nylon,124,22,3.9
Gosen Compositemaster II 16,40,Fast,Nylon,126.3,27.6,4.5
Dunlop Explosive Synthetic 16,40,Fast,Nylon,148,24.3,3.6
Prince Premier Power 18,62,Fast,Nylon,164.6,18.8,5
Head FXP Power 17,40,Fast,Nylon,131.4,26.6,4.5
Ashaway Synthetic Gut 16,40,Fast,Nylon,134.3,31.1,4.6
Dunlop DNA 17 (1.22),62,Fast,Nylon,165.2,25.6,4.1
Babolat SpiralTek 17,51,Fast,Nylon,149.2,17,5.6
Gosen AK Pro Spin 15L (1.38),51,Fast,Nylon,168.6,11.7,6
Head Fibergel Power 16,62,Fast,Nylon,184,27.1,3
Dunlop Hexy Fiber 17,40,Fast,Nylon,120,26.6,3.7
Wilson Stamina 16,51,Fast,Nylon,183.5,21.2,3
Wilson NXT Tour 17,51,Fast,Nylon,175.5,18.4,3.6
Babolat Xcel Premium 17,51,Fast,Nylon,148,19.7,0
Gamma Synthetic Gut 16,40,Fast,Nylon,158.9,26,3.6
Prince Synthetic Gut Multifilament 17,62,Fast,Nylon,182.9,20.3,3.1
Gamma FXT 16 (1.30),51,Fast,Nylon,157.2,15,5
Gosen Powermaster II 16,51,Fast,Nylon,157.7,22.4,3.7
Babolat Xcel Power 16,40,Fast,Nylon,143.4,21.5,3.8
Pacific Power Twist 16L,40,Fast,Nylon,136.6,23.8,3.2
Prince Premier Power 16,51,Fast,Nylon,150.9,20.6,4.6
Babolat Xcel Power 17,62,Fast,Nylon,166.3,19.3,3.6
Solinco X-Natural 16 (1.30),51,Fast,Nylon,144.6,21.5,4.4
Dunlop Synthetic Gut 16,51,Fast,Nylon,172.6,22.9,3.9
Gosen Multi CX 17 (1.24),51,Fast,Nylon,149.7,18.1,4.3
Tecnifibre NRG2 16,62,Fast,Nylon,177.7,15.1,3.2
Prince Syn Gut Original 16,51,Fast,Nylon,191.5,20.7,2.9
Wilson NXT OS,62,Fast,Nylon,190.3,15.6,2.5
Klip Scorcher 17 (1.27),51,Fast,Nylon,158.9,16.2,4.8
Wilson NXT Max 15L (1.35),51,Fast,Nylon,156,13.1,7.2
Wilson K-Gut 16,51,Fast,Nylon,171.5,19.7,4.4
Dunlop X-Life Synthetic 15L,62,Fast,Nylon,206.9,19.8,3.5
LaserFibre Supernatural Gut Pro Stock 16,40,Fast,Nylon,131.4,29.9,NA
Pacific Premium Power X 16L,51,Fast,Nylon,165.7,24.4,3.3
Wilson Optimus 16 (1.30),40,Fast,Nylon,118.3,30.7,3.6
Tourna Irradiated 16,40,Fast,Nylon,142.9,23.6,3
Head ETS 17,62,Fast,Nylon,165.7,22.2,1.9
Gamma WearGuard Synthetic Gut 16,62,Fast,Nylon,186.3,21.5,2.8
Prince Synthetic Gut 18 Duraflex,51,Fast,Nylon,161.7,19.4,3.6
Gamma Ocho XP 16 (1.32),51,Fast,Nylon,148.6,19.4,3
Gosen OG Sheep Micro 18,40,Fast,Nylon,142.3,23.1,3.2
Gamma Asterisk Spin 16,51,Fast,Nylon,149.7,24.5,3.9
Prince Premier LT 17,62,Fast,Nylon,174.3,28.1,3.3
Prince Premier Touch 16,62,Fast,Nylon,150.9,18.3,4.1
Diadem Impulse 16 (1.32),51,Fast,Nylon,149.7,18.3,0
Wilson Synthetic Gut Control 17 (1.25),51,Fast,Nylon,158.3,16.9,4.8
Babolat Conquest 16,51,Fast,Nylon,174.9,30.2,4.3
Wilson K-Gut Pro 16,62,Fast,Nylon,194.3,17.8,1.6
Prince Topspin Plus 16,51,Fast,Nylon,165.7,20.5,5.3
Dunlop S-Gut 18 (1.19),51,Fast,Nylon,156,16.2,4.4
Babolat Xcel 16,40,Fast,Nylon,120.6,19.7,3
Tourna Quasi-Gut 16,40,Fast,Nylon,132,28.2,0
Wilson SGX 16,40,Fast,Nylon,134.9,21.9,3.1
Prince Syn Gut Original 17,62,Fast,Nylon,204.6,16.2,3.8
Gamma Solace 17 (1.27),51,Fast,Nylon,148,17.6,3.5
Gosen OG Sheep Micro Super 16L,51,Fast,Nylon,164,21.4,2.7
Klip Synthetic Gut 16,62,Fast,Nylon,188,22.8,4.2
Kirschbaum Touch Multifibre 17 (1.25),40,Fast,Nylon,137.2,24.5,3.5
Prince Premier Control 15L,51,Fast,Nylon,152.6,18.1,4.6
Dunlop Explosive Synthetic Gut 17,62,Fast,Nylon,213.2,16.6,NA
Wilson Sensation Supreme 16,40,Fast,Nylon,120,28.7,3
Prince Lightning XX 16,62,Fast,Nylon,202.9,18.4,3.4
Volkl Synthetic Gut 16,40,Fast,Nylon,142.3,18.2,5.1
Gamma TNT2 Rx 16,51,Fast,Nylon,173.2,23.4,4.5
Prince Lightning XX 17,40,Fast,Nylon,151.4,21.3,3.5
Head Reflex MLT 16 (1.30),51,Fast,Nylon,159.4,24,5.1
Gamma TNT2 18 (1.17),51,Fast,Nylon,165.7,16.2,5.6
Gosen Nanosilver 17,62,Fast,Nylon,181.2,21.3,4.5
Gosen OG-Sheep Micro 16,40,Fast,Nylon,150.3,27.3,3.4
Pacific Power Line 16L,62,Fast,Nylon,197.7,19.7,3.4
Prince Premier Control 17,40,Fast,Nylon,122.9,25.9,4.7
Dunlop DNA 16 (1.30),51,Fast,Nylon,146.9,25.1,3.6
Gamma Professional 17,62,Fast,Nylon,167.4,22,2.8
Volkl Gripper 16,51,Fast,Nylon,153.2,22,NA
Babolat Synthetic Gut 17 (1.25),51,Fast,Nylon,162.3,17.4,6
Head Fibergel Power 16,51,Fast,Nylon,153.2,32.8,3
Klip Excellerator 16/1.30,62,Fast,Nylon,182.9,18.2,2.7
Wilson Sensation 17,40,Fast,Nylon,137.2,25.8,3.6
Babolat Addiction 16,40,Fast,Nylon,142.3,24,3.1
Gamma ESP 16,62,Fast,Nylon,176.6,24.5,2.6
Prince Synthetic Gut Multifilament 16,51,Fast,Nylon,172.6,20.1,2.7
Gamma Synthtic Gut 15L W/wearguard (1.38),51,Fast,Nylon,167.4,17,4.7
Gosen Compositemaster I 16,40,Fast,Nylon,138.3,25.3,4.2
Head Synthetic Gut PPS 16,62,Fast,Nylon,190.9,23.3,3.9
Prince Premier Power 17,62,Fast,Nylon,166.9,18,4.3
Gamma Glide Cross String 16,62,Fast,Nylon,148,19.7,3.2
Head Fibergel Power 17,40,Fast,Nylon,141.7,30.6,3.1
Gosen AK Pro 16,40,Fast,Nylon,150.9,27.1,4.3
Forten Sweet 16,62,Fast,Nylon,221.2,20.6,3.4
Wilson Sensation 16,51,Fast,Nylon,168.6,21.2,3.5
Prince Tournament Nylon 15L,40,Fast,Nylon,146.3,24.2,3.1
Wilson NXT 16,51,Fast,Nylon,173.7,20.5,3.9
LaserFibre 1200 16 (1.30),51,Fast,Nylon,137.7,18.4,5.7
Volkl Power-Fiber II 16,40,Fast,Nylon,137.7,25.5,3.2
